|mm|0|Мультимедиа, аудио, видео.|МУЛЬТИМЕДИА
|delo|0|Бизнес, бухгалтерия, делопроизводство.|БИЗНЕС
|inet|0|Интернет, локальные сети.|ИНТЕРНЕТ и СЕТИ
|comm|0|Телефония, факс, АОН, модем.|СВЯЗЬ
|fen|0|Оформление, скринсейверы, заставки, иконки.|ОФОРМЛЕНИЕ
|dev|0|Программирование|ПРОГРАММИРОВАНИЕ
|learn|0|Образование, все для школ и ВУЗов|ОБРАЗОВАНИЕ
|games|0|Игры и развлечения|ИГРЫ
|graph|0|Графика, проектирование|ГРАФИКА
|sec|0|Безопасность, защита|БЕЗОПАСНОСТЬ
|util|0|Всевозможные утилиты|УТИЛИТЫ
|mplay|mm|Аудио, видео плейеры|Плейеры
|medit|mm|Аудио, видео редакторы|Редакторы
|mcd|mm|CD, DVD, запись|Запись CD и DVD
|speech|mm|Речь|Речь
|mutil|mm|Мультимедиа утилиты|Утилиты
|codec|mm|Кодеки, конверторы, рипперы|Кодеки, конверторы, рипперы
|mmuz|mm|Музыкальные инструменты|Музыкальные инструменты
|doc|delo|Документы, делопроизводство|Делопроизводство
|torg|delo|Торговля, склад|Торговля и склад
|crm|delo|Управление взаимоотношениями с клиентами, CRM|Управление взаимоотношениями с клиентами (CRM)
|kadry|delo|Кадры, заплата|Кадры и зарплата
|buh|delo|Бухгалтерия, налоги|Бухгалтерия и налоги
|dother|delo|Прочее для бизнеса|Прочее
|browsers|inet|Браузеры, утилиты для браузеров|Браузеры
|post|inet|Почта, рассылки|Почта
|irc|inet|Общение, чат, irc|Общение
|ftp|inet|Качалки, ftp-клиенты|Закачка файлов, FTP
|proxy|inet|Прокси сервера, анализ логов|Прокси
|idial|inet|Звонилки, статистика, утилиты для dial-up|Dial-Up
|html|inet|Создание сайтов|Создание сайтов
|iutils|inet|Интернет-утилиты|Интернет-Утилиты
|iopt|inet|Ускорители интернет|Оптимизаторы скорости
|istat|inet|Стаитиска траффика, времени|Статистика
|lan|inet|Утилиты для локальных сетей|Локальные сети
|clients|inet|Прочее для Интернет|Прочее
|telef|comm|Телефон, факс, АОН|Телефония
|sota|comm|Для работы с мобильниками|Сотовые телефоны
|ucomm|comm|Прочие утилиты для связи|Прочие утилиты
|antivir|sec|Антивирусы, антишпионы, антитрояны, антикейлоггеры|Антивирусы
|secinet|sec|Файрволы, сетевые экраны|Интернет и сеть
|pass|sec|Все для работы с паролями.|Пароли
|shifr|sec|Шифрование|Шифрование
|secother|sec|Прочее для Безопасности|Прочее
|arh|util|Архиваторы, backup|Архиваторы, backup
|urecode|util|Конвертеры|Конвертеры
|uplugin|util|Надстройки, расширения|Надстройки
|shells|util|Файл-менеджеры, оболочки|Файл-менеджеры
|sprav|others| |Справочники
|usys|util|Системные утилиты|Системные
|udisk|util|Файловые и дисковые утилиты|Файловые, дисковые
|bd|util|Утилиты для БД|работа с Базами Данных
|udt|util|Прочие утилиты|Прочие
|text|0|Текст|ТЕКСТ
|uedit|text|Текстовые редакторы|Редакторы
|read|text|Чтение книг, текст в речь|Чтение, речь
|trecode|text|Перекодировщики, конвертеры текста|Перекодировщики, конвертеры
|tutil|text|Прочее для работы с текстом|Прочее
|logic|games| |Логические
|tetris|games| |Тетрисы
|arcanoid|games| |Арканоиды
|shoot|games| |Стрелялки
|arcade|games| |Аркады и Бегалки
|digger|games| |Копалки
|puzzle|games| |Головоломки
|card|games| |Карты
|chess|games| |Шахматы и шашки
|joke|games| |Шутки и приколы
|joy|games| |Развлечения
|crosswords|games| |Кроссворды
|simul|games| |Симуляторы
|strateg|games| |Стратегические
|gothers|games| |Прочие игры
|notes|delo| |Органайзеры и записные книжки
|utime|util| |Часы, будильники и напоминатели
|learngames|learn| |Обучающие игры
|learngames|games| |Обучающие игры
|lang|learn| |Иностранные языки
|test|learn| |Тестирование
|klav|learn| |Клавиатурные тренажеры
|matem|learn| |Математика
|perevod|text| |Переводчики, словари
|sprav|learn| |Учебники, Энциклопедии
|school|learn| |Школы и ВУЗы
|lothers|learn| |Прочее для обучения
|homebuh|others|Домашняя бухгалтерия, ЖКХ, ремонт, квитанции|Семейный бюджет
|spy|util|Клавиатурные шпионы (кейлоггеры)|Шпионы
|family|others|Семья, дети, планирование семьи, генеалогия|Семья
|others|0| |ПРОЧЕЕ
|hobby|others| |Хобби
|onlinegames|games| |Онлайн игры
|electron|others| |Электроника
|med|others| |Медицина
|allothers|others| |Прочее
|ibm|inet|Закладки|Закладки
|rus|util| |Руссификаторы
|script|inet|Скрипты для сайтов|Web-скрипты
|ms|0|Обновления|Microsoft
|videocourse|learn|Обучающие видеокурсы|Видеокурсы
|balls|games| |Шарики
|search|games| |Поиск предметов
